""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"PLA1A",4.596900163,4.121516103,4.189323845,4.114229605,4.238242106,4.752995505,4.601862204,4.291414668,4.157708885,4.542507825,4.424050696,4.505204228,4.62977207,4.275347226,4.446436165,4.305367062
"UBR5",8.544298413,8.634336874,8.333357404,8.602827362,8.391450411,8.412638534,8.495872808,8.407255142,8.315685447,8.230537456,8.248765117,8.395379984,8.338164366,8.466355799,8.433900226,8.256824099
"POP5",8.826087634,8.831612688,8.503567852,8.958116798,8.868604516,8.72506806,8.199063076,8.45952929,8.639069105,8.951048052,8.915252776,8.721687241,9.156962378,9.055286293,8.951294592,9.044985434
"TEX264",7.955776819,7.988409822,7.776958165,7.894677059,8.071284818,7.602197896,7.439242959,7.709703548,7.877331287,8.136865246,8.206288344,8.144090213,8.232551287,8.106379455,8.29317393,8.605888455
"PDE1A",4.139103242,4.070171907,4.17590599,4.127530958,4.032944588,4.588691581,4.223641621,4.094851435,3.846690641,4.333251555,4.112490356,3.971146862,4.239957083,4.18387769,4.043453853,3.922734551
"POMP",10.06434721,10.03681336,10.04197098,10.12618955,10.36586132,11.13497504,10.36160639,10.61523213,10.87145122,10.75560513,10.43905244,10.2746029,10.54903565,10.38022993,10.35259833,10.74102038
"MRPS17",7.006896514,6.751370183,6.98489944,7.38701744,7.318695926,8.13963654,6.68223502,6.770949095,7.382533382,7.599098119,7.134237624,7.287019252,7.380583605,7.104745527,7.420192169,7.41374688
"ATRAID",10.13664003,10.05099839,9.949958237,10.12511644,10.5692631,10.33969985,9.697546915,9.929934558,10.07858002,10.49588224,10.35216931,10.15935509,10.54102032,10.34497866,10.48214995,10.67873226
"SNX7",3.962126055,3.916898617,3.976718986,3.960700553,4.067983883,6.556313364,4.047711591,3.90916801,3.889669874,3.699024216,3.935172679,3.96008807,4.038410867,3.902391455,4.150427647,3.895443568
"UCHL5",6.190449579,6.342226014,5.980697333,6.499708469,6.4049788,7.038854706,5.756744221,6.190970942,6.237076265,6.482015163,6.438620412,6.078382382,6.465363172,6.407130432,6.644670841,6.641907338
"ANGPT4",6.203912676,6.288060577,6.361902192,6.165127213,6.351484053,6.026414993,6.368516119,6.23837138,6.202995326,6.038452187,6.077143332,6.246673756,6.196452717,6.280886796,5.973788747,6.089759462
"CRLF3",10.95129226,11.0888344,10.92541522,11.15381445,11.09711226,10.56713106,10.73701856,10.77690332,10.80241048,10.91544545,10.79431958,10.70885863,11.0542927,10.99703498,11.00896597,11.01242966
