"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"DHX33",7.2795,8.659,6.8379,15.431,10.6526,8.4298,5.5433,14.0751,6.4993,11.2576,8.0145,7.6927,11.2996,7.2064,8.3284,9.1918,8.0876,6.9736,5.1668,4.4508,8.0643,12.0981,10.1992,7.7795,9.911,10.5863,11.378,5.8937,9.6977,12.8234,10.2609,12.4291,7.9327,7.6417,12.2211,9.638,6.8851,7.9787,6.685,7.5878,9.8533
"MEOX1",2.635,2.6118,1.8552,6.0097,12.5534,4.1857,1.925,10.3816,4.3856,4.2775,3.4961,3.6621,12.5572,7.774,3.9111,4.4677,3.0115,4.03,2.9388,1.5694,4.2887,6.113,9.604,6.8336,1.028,10.6553,4.1953,5.9403,2.4325,15.3268,2.9904,8.7839,3.4724,3.0079,5.0157,4.7288,2.2662,6.51,6.1769,2.4408,4.3505
"LIG3",4.3379,5.4353,3.5941,8.9118,5.4078,5.7376,3.7651,5.9262,4.5282,6.2268,3.926,5.0991,7.931,4.6678,4.9005,5.6501,5.4255,3.5593,3.3773,2.8471,4.6335,4.9379,6.5584,4.5894,4.5758,5.9857,6.2521,3.7302,5.6439,8.2537,4.9344,6.466,4.4975,4.6172,6.7769,5.8532,3.6222,5.8291,3.6612,4.0754,6.4534
"RPAP3",8.7912,10.1906,10.7106,16.0567,9.8061,11.1996,6.6533,14.0521,7.6313,10.0807,8.0712,9.9644,16.3271,12.4444,8.7772,9.6008,10.2827,11.1985,5.9215,5.2715,8.2526,11.6538,16.6721,14.4556,10.2676,12.7729,14.8771,8.7139,8.5222,13.9335,9.8218,11.5145,9.7145,8.9333,12.9576,14.1945,6.2473,19.5083,8.0311,7.891,9.8401
"ACSM3",9.0415,18.3066,8.5737,8.0479,4.7646,8.048,11.2367,6.0942,8.1546,11.0155,9.4183,10.5071,2.0563,7.0199,7.9517,9.5599,10.6917,7.3672,5.6044,4.1699,11.09,8.6375,7.5719,10.1255,13.0777,7.6336,12.0169,2.0901,9.8802,6.94,12.6041,10.959,8.4925,10.5315,8.2039,15.4675,3.2526,14.0416,7.1417,8.8839,12.0568
"REXO5",1.7903,3.3155,1.3298,3.1904,1.8688,1.3613,1.5452,1.1133,1.981,2.572,2.0213,2.0361,2.119,2.3806,2.4295,1.9373,1.8336,2.9734,0.9908,0.8342,2.0457,2.106,2.7609,2.1875,2.7276,3.054,2.2715,1.8405,1.9662,2.8967,2.5008,2.804,2.0338,2.7505,3.3644,3.3887,0.9878,2.7665,1.4317,1.4994,3.5601
"CIAPIN1",39.2009,40.3728,30.8238,45.354,44.7841,32.7762,31.6785,33.2006,30.8611,37.7615,32.0053,33.7382,28.5124,30.238,27.4984,35.6718,35.8581,35.6571,29.8933,21.955,28.8705,38.731,39.176,70.4955,31.2498,55.4134,37.7547,30.5615,35.9708,36.9154,31.7097,35.2646,36.7988,40.1253,44.1549,54.5882,26.2045,56.0306,30.436,28.4798,42.5169
"SPPL2B",19.9744,17.8251,20.2507,24.4557,26.9608,20.8595,26.5873,15.837,17.1898,41.0171,26.9882,23.2545,12.6065,14.8859,31.6401,26.7678,20.4151,16.9531,18.6498,17.1457,27.6561,21.3534,14.8351,11.4327,27.3584,17.904,29.3547,30.6207,40.8144,18.6363,27.8059,33.3386,20.5119,22.6726,28.7325,20.2793,24.1338,9.5941,21.217,19.4798,23.6001
"COPZ2",6.1811,3.6522,4.0691,21.5616,8.4567,19.7541,3.6977,28.6282,5.6736,6.3435,11.3452,5.8357,60.0952,23.3906,15.6651,5.5053,3.889,9.9554,6.791,8.6572,4.6605,14.0228,36.9256,11.4505,5.752,15.8528,7.5904,10.0488,6.9376,39.8658,9.5722,10.0301,9.119,4.5291,13.7462,22.2053,5.6246,34.5378,5.8156,8.6333,6.2344
"PRKAR2B",14.2049,12.5014,11.2119,36.6239,16.6128,26.349,8.4416,24.5224,10.7386,12.342,9.4469,10.9255,19.213,26.9683,15.0422,12.8642,13.4569,17.6423,8.7653,8.7135,11.6823,21.693,20.2556,15.5632,12.9194,19.4367,14.4988,14.8969,14.2538,31.6061,18.1769,18.0019,10.1045,11.0633,25.6864,21.8912,9.352,34.7448,10.6596,8.8723,14.5534
"MSL3",5.2313,7.0777,5.2897,7.3277,5.2298,6.5462,5.3978,5.8995,6.0898,7.16,4.5214,5.8663,7.6116,7.0193,6.876,6.7332,5.7207,8.3543,4.211,3.8295,6.0437,6.9299,8.3465,9.1656,6.7499,6.8055,8.3946,4.8293,8.3424,8.729,6.371,7.3444,6.3022,6.6568,8.5196,10.0147,4.6759,12.5861,5.7662,5.0581,6.8081
"CREBBP",17.6048,18.2586,13.3622,24.4697,21.0063,19.3883,15.1877,28.8743,17.5302,26.4859,19.5499,20.517,34.9639,18.3445,19.0668,22.0576,21.3028,11.6791,15.5465,17.2198,22.1027,23.6873,20.6868,6.4231,25.0585,13.8997,27.4022,19.4824,19.7416,28.4204,25.2255,26.1486,19.6408,14.9787,21.9053,12.8812,17.815,10.9662,18.632,20.5103,20.2539
"TSPOAP1",1.3398,0.7913,1.04,3.1021,2.1513,2.5748,1.5675,4.1108,2.3406,4.9048,1.4897,1.1488,4.7284,3.1048,3.0992,2.3868,1.1552,1.8782,0.8598,1.355,1.5691,2.6436,2.4562,1.5223,2.0189,1.2584,3.852,1.7042,3.216,3.5578,1.9878,2.5793,1.1879,2.1494,3.9671,2.6534,1.2452,2.2146,1.5019,1.8147,1.9299
"GCFC2",4.1658,3.7741,5.2084,7.3662,4.4984,3.9344,3.4389,5.4808,3.7275,5.6614,4.5007,4.7833,6.8,5.2707,4.8156,4.0574,3.9687,4.7115,3.3294,2.8584,3.928,5.4176,6.8847,7.3364,5.5438,5.4893,6.8271,4.5257,5.8155,5.9886,4.582,5.5484,4.1615,4.0869,9.4844,6.4089,4.0147,6.8133,3.7985,4.04,4.4658
"WDR54",3.8238,4.4631,2.9108,5.5103,4.4895,5.2065,4.3778,4.9458,5.4825,4.85,4.6827,3.9179,5.6924,6.1617,5.5922,5.8482,4.301,5.3011,3.1304,3.2276,5.0765,4.2363,8.1202,4.818,5.0179,5.9901,6.1968,4.4491,5.7127,8.4866,5.1523,5.7802,3.6829,5.7017,7.3773,7.0388,2.5629,7.433,4.953,4.577,4.8685
"CROT",23.8455,17.3871,23.0247,15.6129,16.3365,20.5553,21.3016,10.4544,17.0756,19.4775,10.8729,28.2027,15.1569,17.7908,13.6723,20.6241,20.1898,11.608,17.1408,17.381,29.1195,8.7051,19.8309,22.8571,20.8154,21.5081,10.0249,35.3194,18.711,11.1619,24.8963,16.179,24.3005,21.7968,11.076,11.8709,23.0007,10.7339,15.0386,22.9287,18.8358
"KMT2E",31.8604,35.5743,39.5842,37.9639,28.898,26.13,26.4038,34.328,26.1063,36.0007,27.6472,31.6556,36.4883,31.0253,27.4625,35.9828,33.9107,25.9144,26.2554,25.4714,26.0072,39.5421,31.0904,14.8164,37.9168,22.9855,37.2727,21.4263,33.1584,30.2037,39.2362,36.6027,30.1905,32.3612,34.9488,26.0225,35.5412,21.152,33.3588,28.2974,35.7039
"IBTK",18.8235,18.6686,24.2795,40.3854,29.601,19.7434,13.7422,30.9442,15.9096,21.3786,17.6089,23.9908,18.9468,19.3601,14.3159,18.5669,22.5154,17.3492,15.6379,13.1712,17.9865,22.8899,25.3253,25.595,19.1008,32.4086,27.6015,17.9271,22.2787,28.9215,21.9509,23.9111,19.6992,17.0795,26.7847,23.8187,17.7339,30.0456,13.8935,15.607,25.8733
"ZNF195",3.9318,3.6359,5.3425,4.0864,4.6452,3.9504,3.5024,3.2546,3.1432,5.3775,3.1086,3.9935,2.1977,3.8368,5.0635,4.115,4.2697,5.3562,2.9686,2.2194,3.8966,5.8755,3.8572,7.9491,4.7241,3.9064,5.3622,3.6879,6.3522,3.8298,4.2298,5.3819,3.5805,3.6879,5.5258,5.478,4.1663,4.6641,3.0155,3.2068,4.1245
"MYCBP2",5.0838,6.2815,5.2941,11.5744,7.3814,6.6324,2.9184,11.9111,6.466,7.6413,4.9998,6.0083,14.9896,7.9804,7.4478,7.3427,6.3989,3.3099,3.4794,3.3786,5.8104,11.2066,10.004,2.574,6.1734,5.7088,13.9439,5.0443,5.9804,14.3753,7.3109,9.9898,6.352,7.1347,7.7077,4.053,5.8265,5.8944,6.5993,4.993,6.7268
"FBXL3",21.2597,23.2182,23.0065,20.1723,18.4767,19.6878,23.4416,19.0858,16.7571,23.0721,18.545,25.0823,20.2908,27.9845,19.0071,19.5666,21.6892,26.0827,22.775,22.8743,17.6587,17.2114,29.5692,30.4908,28.8819,19.1445,18.998,23.6371,20.2228,16.2721,24.5749,18.2787,22.3494,16.0043,28.5497,26.5527,30.0713,28.2859,21.5748,23.5206,22.4939
"ITGAL",4.3086,10.7231,3.7359,3.5398,5.508,6.8384,4.5524,3.1642,18.9669,8.562,4.844,7.3776,1.5254,6.4743,5.8791,10.6252,5.6578,5.4949,4.8008,7.0266,7.0483,8.587,5.5092,2.7204,5.6927,7.323,16.659,2.6728,6.2868,10.5048,4.8218,3.688,5.9163,14.9788,5.2433,5.8085,4.9591,5.0983,9.8977,5.4457,9.0817
"PDK2",27.8083,14.8964,15.5996,17.1918,14.9784,27.6048,33.8618,21.6816,15.8082,28.6859,24.6455,21.6419,42.3397,28.2554,17.3286,28.3343,26.8112,30.3536,24.2374,19.4895,24.3152,18.0329,43.0216,18.633,28.2553,13.5907,23.8153,48.447,22.5196,23.6747,39.4623,25.782,24.8434,20.6887,42.3491,33.7416,18.0877,14.5799,22.962,32.1629,24.9088
"ITGA3",68.385,77.5421,55.0405,52.2094,55.3511,43.9773,63.1528,49.4015,64.4168,87.0773,76.2126,69.8858,33.8603,45.2719,64.8233,76.8721,67.5823,49.4802,73.5298,72.4272,61.228,57.2661,46.3526,28.3524,65.5802,62.0656,55.9259,85.8304,54.1622,48.8013,67.6934,85.0327,82.8469,60.3475,57.4169,49.0283,54.6659,32.3537,61.7697,70.6286,71.2973
"ZFX",9.0383,10.1775,6.1728,6.8188,5.3458,7.3404,8.2412,9.1907,8.1104,10.9865,5.9003,10.5436,11.1819,8.4502,9.536,9.6433,9.7244,9.4506,8.1493,8.4036,6.3239,8.901,14.3103,5.7556,7.6669,6.2739,6.2969,10.6294,7.8194,13.3059,12.29,8.0305,10.3631,5.8884,13.2921,7.763,9.3188,8.7325,5.9879,8.7699,10.0077
"LAMP2",45.461,40.0077,43.8484,37.5254,41.3622,41.6729,34.322,39.9397,30.1711,36.4323,37.6546,42.4428,38.0724,42.7213,30.0383,38.7249,45.883,38.7385,34.7071,35.4982,36.818,34.3931,50.521,48.494,43.7146,40.3626,40.0792,61.8375,35.2748,48.3176,48.2297,49.8746,41.5503,33.1645,55.6485,42.7469,37.0297,42.9374,39.7593,39.8246,41.4671
"GDE1",112.8103,110.6173,115.0998,102.2809,90.6217,89.8301,101.7641,112.0812,73.9927,107.779,96.6946,113.4189,100.6963,91.0269,71.5528,89.225,111.7257,108.5377,84.1599,118.442,107.8986,80.2682,100.8062,146.7674,95.4915,82.3359,90.338,76.659,93.2282,85.4835,113.9834,95.5871,98.6442,86.8554,106.0509,142.2938,92.8705,111.4698,82.6896,104.9443,87.7172
"OSBPL7",16.4779,12.7693,18.9478,19.301,19.5145,15.2823,20.1148,9.7724,17.8274,37.6619,19.7339,16.0316,5.3261,13.8479,30.8006,21.7521,14.3478,17.8042,15.3127,15.1259,19.3328,15.4739,10.4146,18.7845,19.7708,14.2274,20.5884,18.9998,32.4972,14.6843,19.0644,24.5841,15.2218,21.391,22.9205,18.8274,17.6812,5.8509,13.098,16.0553,30.7774
"TMEM98",79.9027,44.5517,58.3198,63.1241,53.093,56.794,78.368,43.7124,48.8072,94.0261,75.7723,76.4785,36.6882,55.3632,47.8258,71.9882,76.091,131.535,70.2131,47.4812,75.7972,60.5359,71.9227,83.4395,68.8323,51.4374,83.5979,107.7077,83.688,35.8836,85.6483,59.955,58.2636,48.5983,153.9133,149.9589,44.2987,69.3731,62.8353,80.201,86.7759
"MAP3K14",5.8513,8.1482,6.2159,15.1975,15.5568,8.5176,6.1641,12.8401,9.435,14.7596,7.2693,7.5272,16.0957,8.3559,9.318,10.6913,6.096,7.9738,7.5564,7.1013,10.3693,10.43,12.0149,6.4351,9.2297,10.8021,14.8717,13.49,11.2528,14.9117,8.547,7.9163,8.3541,10.5915,10.5299,11.1924,9.3468,14.2233,8.0997,6.6349,9.6664
"TMEM132A",2.1101,2.2145,1.3361,3.3545,2.8545,2.5543,1.9724,2.1351,3.2393,2.4593,3.706,2.2679,2.9722,1.9641,4.0617,3.6735,2.935,2.5649,1.3575,1.1973,2.5685,3.1354,2.8528,1.5725,2.1654,4.6893,5.5227,1.2663,2.2398,4.7945,2.1272,5.6232,3.483,2.1634,2.9847,2.8187,1.4515,3.3291,1.9572,2.115,2.7122
"AP2B1",96.2254,116.1538,72.5524,193.306,121.4283,86.8753,71.0724,134.2823,85.8255,113.0795,88.5651,103.805,79.3289,88.0352,96.1312,104.2725,108.9894,88.9468,76.2585,62.5645,95.2453,123.3367,103.3655,74.1119,114.5927,129.5946,128.7274,52.2018,81.9338,126.52,117.6436,134.6516,103.6675,84.6353,153.6145,100.4449,66.8765,91.168,87.2724,98.1947,162.7358
"TAC1",3.0146,1.3817,2.5428,5.5906,2.5469,6.1455,0.5438,7.3626,3.8055,1.9033,5.7784,3.299,16.8841,22.0314,6.7808,2.8991,0.8751,1.9259,2.6195,4.0854,0.3908,2.6795,20.0231,10.5895,1.7075,5.5922,1.3545,4.9411,1.6968,6.4139,2.1534,2.6788,3.6567,0.5107,2.1544,9.2638,2.5544,30.5043,3.5884,3.6913,3.6637
"ZNF263",9.7776,7.037,6.8463,13.739,11.7713,9.6025,8.6893,9.0695,7.733,12.2656,9.239,9.1824,9.9316,9.695,9.8083,10.0139,8.9499,12.233,5.783,5.8351,10.082,13.8239,11.7638,11.4716,11.6386,10.18,10.424,7.9708,10.9178,11.9681,10.3717,10.7726,7.336,8.4473,15.3563,12.8308,7.3665,10.7056,8.365,8.1465,9.4945
"CX3CL1",5.5195,8.316,5.6395,15.2361,50.585,7.3491,5.7794,12.7775,7.4241,10.6222,5.9505,5.8562,16.9282,15.4976,24.3122,6.6525,6.3001,6.2068,5.5432,4.4594,13.8138,8.5097,15.4466,6.5786,5.4832,9.1571,7.2345,8.4765,7.1732,20.6165,13.068,11.667,8.0576,5.3884,9.7889,6.5806,6.8763,17.5506,13.4492,7.5353,8.842
"SPATA20",54.2128,22.0561,33.8604,36.6307,44.2219,43.2997,59.2967,33.6974,35.8792,54.6631,48.054,33.925,32.3925,37.7186,14.6284,51.2896,40.0466,44.9332,25.8636,40.8033,55.4919,24.3086,38.8603,35.8023,25.801,40.3457,39.7493,19.8213,46.738,45.0029,52.0208,35.9629,40.842,41.5973,40.8051,44.2667,23.3178,31.6459,42.9829,39.9586,41.8571
"TNFRSF12A",9.195,11.1644,8.3195,44.1219,98.3799,5.9661,7.2367,29.8281,11.6663,17.3543,11.2328,8.5055,8.2227,13.8824,10.4235,9.0367,7.4349,12.6812,7.4473,7.4914,30.5908,18.0805,13.4954,58.4401,7.6797,20.6267,9.6739,62.3124,14.0956,16.101,7.986,12.0094,12.3409,7.2815,12.4271,11.7017,11.6899,18.0855,9.5796,6.0112,12.7103
"RALA",68.453,88.2837,64.8625,104.1959,65.7115,65.7152,53.4456,54.1278,57.8111,60.4244,64.0708,73.8172,46.268,65.9861,51.7074,60.7768,69.1885,70.8017,63.5707,62.22,58.4506,60.9263,70.8258,69.1074,77.5583,81.7076,64.1597,53.3637,53.5686,63.889,62.8334,66.8227,78.4185,65.7916,65.041,67.767,59.6631,78.7947,67.1589,53.2035,75.4789
"BAIAP2L1",46.3682,67.2922,44.7715,52.0219,61.0143,32.7352,44.0387,52.4779,44.2015,51.0926,48.4778,42.6046,6.9157,33.5616,34.731,39.9836,42.7402,41.5688,57.8354,47.7819,61.7583,38.2615,29.1553,37.6645,47.0249,65.2598,45.4467,29.1759,47.7584,37.2926,50.7065,45.1983,52.1069,53.944,39.1391,34.1714,49.2686,35.4342,36.1606,38.6697,65.8973
"KDM7A",16.199,19.2785,19.3131,20.7708,23.4986,16.4942,16.5604,17.489,15.8684,26.4923,16.1711,20.1472,9.8886,17.6493,17.1183,19.1453,19.6352,13.5403,13.6616,15.4358,18.0881,17.2442,16.6507,12.5656,23.1601,14.2312,22.5678,15.184,25.5615,17.217,20.4638,20.8101,18.4179,16.0285,20.7998,15.8603,21.9836,12.5564,15.2237,16.7584,18.2186
"ETV1",1.2229,1.1423,1.3372,2.7897,1.67,2.5299,0.934,3.3632,1.8464,1.5147,1.3118,1.3481,8.1458,4.3983,4.4542,1.3325,1.6118,1.447,1.3265,1.3,1.0039,2.0293,5.783,1.0625,1.6518,1.4787,3.0896,2.5221,1.5566,3.6995,1.9981,3.2292,1.761,0.9456,4.7775,2.8308,1.5464,5.6165,1.5189,1.6755,1.7619
"AGK",4.0192,4.2069,3.9939,6.5725,4.9368,5.4828,3.8805,4.8256,4.0451,5.6945,3.8287,4.3037,7.7143,5.476,4.6294,4.8395,4.959,4.7438,2.4923,2.1851,4.266,5.3332,7.631,5.535,5.5635,4.6947,5.519,2.7854,5.0357,5.4145,4.888,6.1296,4.2969,4.3753,6.1828,6.1108,3.3815,6.4226,3.6625,3.8352,5.0267
"ALDH3B1",10.4306,9.0867,7.0437,18.1451,8.1266,9.3694,9.2233,9.7041,11.0861,14.0106,13.2951,11.639,11.2109,7.4497,12.6271,14.2148,13.1709,15.7415,8.0348,7.3753,11.9061,11.8278,17.8044,7.5677,11.2601,13.999,16.0698,40.9808,12.0943,23.0723,12.3892,15.9565,9.3719,12.0861,27.6169,14.5554,9.0325,13.9884,8.2056,10.7961,11.7883
"CCL26",0.1277,0.6409,0.144,0.8404,0.4923,1.3798,0.2337,1.2807,0.1545,0.946,0.2814,0.578,1.0139,1.2194,1.1158,0.4105,0.3996,2.0591,0.5852,0.5135,0.6797,1.5624,0.6523,0.921,0.5586,0.1631,1.9613,0.7353,1.2576,2.3099,0.6647,0.7934,0.5379,0.5804,1.9078,2.0324,0.3555,0.7704,0.2093,0.4421,1.0676
"FARP2",15.0054,22.7076,13.6738,18.0313,16.5914,12.6587,12.4834,11.8408,14.337,17.7877,11.451,17.216,7.2575,9.4743,12.5099,15.1923,15.9799,11.8185,14.7382,12.7575,14.8227,14.6473,11.2884,10.3124,18.9935,13.9581,16.8987,10.2683,15.415,14.2215,16.7394,21.8986,15.7406,14.9979,15.848,12.8304,16.5454,11.3002,12.1845,11.3973,18.6446
"USH1C",112.2336,119.5009,95.0259,110.4871,89.6761,78.1172,143.2688,62.743,106.6462,136.6077,142.7602,126.479,16.6978,75.8342,79.2161,117.9678,126.3654,124.4653,140.4424,132.942,116.9733,80.9457,73.1743,107.3109,140.2708,113.2888,113.5086,291.1905,113.2673,59.3678,119.3479,113.3834,121.3242,98.8122,118.6607,119.7754,111.5706,61.5915,116.2475,119.5172,135.0408
"GGCT",30.6888,42.7893,26.1039,52.1867,25.3574,22.4227,25.6287,19.016,26.9756,28.4107,22.7454,33.4694,15.6499,26.2616,31.8212,27.372,32.4267,26.2849,18.9711,17.2399,25.4204,25.1707,26.6839,32.6761,30.3556,40.065,29.2518,19.7239,21.3536,30.5625,22.574,29.8207,30.1538,25.4491,23.5067,27.7871,18.4207,42.8096,23.8396,17.3857,40.6949
"DBF4",5.0885,9.0704,5.2217,10.0161,7.3505,4.9366,3.8494,4.5882,5.6596,6.1797,3.5307,5.4737,1.982,5.3479,6.2249,5.3129,6.3478,7.5081,3.6532,2.5336,6.021,6.1586,6.3624,15.0146,6.4283,9.4695,7.747,3.2012,7.2976,7.758,5.989,7.7552,5.7696,6.2026,7.2971,7.7736,4.174,9.8667,4.7074,4.6783,8.6219
"TBXA2R",1.651,1.1157,1.2176,1.5674,3.4765,2.7978,1.6078,2.9725,3.4184,2.2582,2.2571,1.7679,4.5661,3.007,3.6995,2.2865,1.5568,1.8206,1.2516,1.1173,1.3522,2.9482,3.8527,2.2903,1.5588,3.3663,2.106,2.4104,2.5019,4.2124,2.4244,4.1433,1.6943,1.0721,2.9652,2.1985,1.1712,1.5052,2.0299,1.8506,1.4791
"IFRD1",2.4081,1.5823,3.0236,2.7066,2.2685,1.8508,1.5038,2.0129,2.1024,5.0578,1.8153,1.6146,1.5434,4.05,3.1632,1.972,1.8723,2.4119,2.3534,1.6046,1.8504,1.7906,2.2488,3.5142,2.2307,2.5247,1.8955,3.4018,3.1966,1.5266,2.7204,2.1489,1.8822,2.5152,2.5884,2.2059,3.6051,2.2519,1.7876,1.3897,2.4152
"COX10",12.9468,13.7638,11.9582,14.4116,16.1453,14.5127,11.664,12.9712,10.3746,16.7038,11.8019,12.5818,13.4568,10.4361,11.0992,12.5147,14.747,12.6532,9.3722,6.8727,14.3505,14.3352,12.2352,18.0386,14.731,14.4593,13.8125,12.6183,12.8524,13.2314,15.1175,18.75,11.9341,11.7414,15.894,16.1364,8.3409,13.055,10.2856,11.7461,15.8385
"GTF2IRD1",6.4359,5.6677,5.4989,10.0089,7.8062,6.6018,6.7746,12.4566,6.3656,7.3571,6.6519,5.4206,10.0408,4.8034,9.1484,7.3529,6.7214,5.7539,2.4436,2.9092,5.279,8.5595,9.0321,5.2249,8.4456,6.2012,7.6181,10.4201,6.2771,13.124,8.9722,10.9282,8.1651,7.5602,9.4672,9.2996,3.7586,5.8333,5.5697,6.2647,9.8327
"PAF1",43.3828,56.006,41.9524,77.8413,56.438,54.0388,44.4049,70.2635,45.8147,62.277,53.6975,48.5307,75.3865,62.5872,51.4294,45.9881,50.0717,41.0841,50.0354,43.5246,51.2873,54.7023,70.8401,39.3281,50.1681,64.9318,64.4744,53.6735,43.3627,79.2544,52.7616,53.363,51.9659,47.6704,56.3538,59.1321,39.3692,55.3792,51.7332,44.2205,57.8984
"VPS41",17.8832,18.3527,17.3043,23.2299,18.3029,17.7592,17.8653,21.138,14.3363,19.4302,16.762,17.0088,21.6678,19.7294,13.2821,18.0986,19.4415,19.2021,14.3458,13.4812,17.0188,18.2859,21.4594,20.7324,23.4196,17.0683,19.9122,16.7563,17.6773,21.4767,20.1612,21.2497,19.7501,17.0823,23.2919,24.4399,16.8756,22.4659,14.8199,17.4269,19.087
"ARHGAP44",25.1161,19.1768,16.8878,18.1197,34.6282,22.0123,24.608,9.8434,19.2893,37.6659,21.9404,24.9844,3.7549,13.2878,17.2043,20.8267,20.0143,20.9803,13.342,11.932,22.5179,23.0449,12.2002,18.6915,30.6943,10.9712,23.8127,1.3107,22.9986,7.9136,29.1534,23.9002,23.7883,19.7011,26.8686,25.2055,25.1985,11.4118,17.7933,21.8434,23.13
"ELAC2",22.6894,24.7103,19.447,31.9282,23.8317,25.3201,20.2403,31.6315,24.6647,32.4334,21.7009,27.3958,35.8982,22.8221,24.6672,26.4827,27.1138,22.5912,14.7602,14.4999,25.2974,33.4118,33.1728,26.8677,28.7447,33.2573,32.893,18.7055,25.947,33.352,28.75,33.7132,24.3437,23.0323,28.7078,28.9963,16.0154,25.944,21.8606,21.6608,30.0435
"SCIN",31.1635,29.8567,23.6946,13.5988,9.5072,15.0378,20.1976,5.8404,28.0939,21.3927,24.4123,29.8434,3.8895,17.8987,15.3286,16.3518,36.5378,15.2938,42.4627,39.1621,20.0282,17.072,18.9633,12.5121,36.4856,12.5446,19.4978,69.3166,18.0877,8.3873,32.7012,13.8437,22.2579,19.0504,12.0409,13.6968,26.1049,8.4981,21.1365,33.5499,30.5814
"ARSD",49.4395,31.3355,25.7639,20.3326,36.4874,20.1041,43.3977,20.3215,40.6454,60.1872,27.4277,51.9905,8.3634,17.9452,41.9168,46.9441,60.2929,48.2787,29.0388,23.2041,31.4814,28.8193,30.4486,20.1305,30.0065,14.4422,30.8361,33.1295,26.8471,33.5242,58.1165,40.928,41.5784,19.5442,75.4257,31.8866,26.1951,13.214,26.2363,56.4443,43.1716
"PNPLA4",21.3145,16.2147,9.8836,13.3369,12.3571,11.9003,25.2054,9.1503,18.5907,25.1691,14.0949,20.0601,10.7495,12.7959,16.4188,23.6875,31.8029,33.997,18.6234,15.5042,13.8545,11.5732,22.99,21.5762,13.8913,11.9161,14.1474,24.7307,15.7179,14.4636,28.1157,14.9349,28.3672,12.0123,33.643,24.672,15.4764,17.5331,11.2807,21.2605,27.8971
"ADIPOR2",70.2159,76.6159,66.1158,80.4798,59.7398,53.7718,62.0211,82.8517,60.7722,71.4157,63.6289,74.3382,44.6014,55.5089,49.9691,59.0887,70.3369,62.4069,86.1098,74.5923,61.583,57.4068,61.9934,54.644,73.988,70.3748,67.927,79.7654,64.8498,71.4531,63.2414,70.1899,70.7647,65.1512,62.7069,62.8391,81.823,58.7524,59.706,52.5635,75.5647
"MARK4",6.3043,5.4494,4.9281,9.5065,9.3378,9.6747,7.1085,12.0952,7.5206,9.5015,10.0694,5.8238,20.2267,9.2084,8.8384,9.2951,7.02,6.5123,5.7486,5.3218,7.2938,9.1439,11.3511,3.9992,6.8501,7.4072,8.3989,8.3668,7.1062,14.5338,10.2661,10.5866,8.7931,9.1157,11.9642,11.5381,5.4814,8.0204,8.0194,8.3816,8.4409
"PROM1",81.0851,54.4037,55.9487,25.5829,52.7836,25.046,45.7582,6.8217,39.6431,49.9042,25.922,59.2022,9.0695,43.2998,45.3635,49.7645,59.0872,18.7431,26.2128,40.9907,33.7436,15.6302,53.0573,55.5312,46.0008,35.4179,32.9787,54.2554,55.7989,12.2364,58.1972,43.6155,42.8488,61.012,25.5173,13.6423,43.4893,24.195,49.2178,37.6844,31.1866
