"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"PTPN4",3.6569,2.9118,6.5069,3.8527,2.6185,4.8816,3.0658,4.3536,2.7754,2.3445
"DDX18",31.1482,41.8378,44.2432,25.5855,39.6087,41.4216,22.7108,39.7101,29.5013,25.0622
"KHSRP",109.1442,139.3417,129.5974,94.3137,166.0903,89.0911,48.8713,141.5609,113.7089,116.3256
"GNA11",63.7829,102.9721,73.7852,94.5535,154.5879,53.1735,36.4622,90.3873,174.1986,117.6509
"ASAP3",19.589,12.9662,20.1593,16.3253,23.9305,12.5576,12.7052,22.4746,16.3465,15.8643
"EDEM2",53.242,46.8428,37.6522,43.462,61.9812,60.3631,81.807,42.9273,53.078,48.4404
"DNMT3B",1.0783,0.9175,1.7769,1.4968,1.4311,1.1385,1.1024,1.2461,1.2322,1.0034
"TPX2",13.7922,32.832,19.7027,28.0628,75.0261,18.7299,22.066,25.5174,60.0278,39.4764
"PDRG1",18.6646,18.532,26.9989,16.0511,20.8793,34.8193,52.0294,21.3392,17.775,20.2043
"EPB41L1",19.0433,15.3987,35.1256,23.62,17.6112,17.2012,9.2831,34.1444,16.018,20.928
"SLC15A1",8.0711,7.5046,5.1678,9.5906,8.1774,5.6346,2.4721,3.7214,45.021,13.8916
"DOCK9",10.635,12.3754,25.2226,13.8547,10.0561,9.2193,3.1275,18.8051,12.8249,12.0023
"TGDS",16.5057,7.6004,16.1422,10.4013,10.3463,23.4283,33.1837,9.6552,8.9378,9.7174
"C3orf18",6.9254,5.5981,19.3028,5.991,1.5837,15.5091,5.64,11.3885,1.9297,8.1788
"COQ9",61.7127,47.3459,54.4374,50.3703,74.9075,68.6906,72.1225,54.5464,63.0018,52.1564
"KIF9",2.9557,4.5533,2.9687,2.254,5.151,4.6391,4.8499,3.602,4.1347,3.0608
"CRLS1",0.4746,1.2565,0.2896,0.393,0.6084,0.3322,0.6793,0.7495,0.6496,0.8945
"PPP1R13B",14.2672,12.1586,15.3167,13.0859,19.21,10.009,6.6062,12.4733,15.9421,14.742
"ATRN",20.9443,20.4807,28.807,19.6245,21.4155,13.6641,7.1195,27.4389,16.4241,17.0669
"SMOX",6.8132,10.2378,6.7645,6.3925,5.3296,6.6312,4.1628,10.9594,2.098,5.1338
"SIGLEC1",11.7766,4.7538,9.7603,6.4955,3.7263,9.7615,4.2451,10.2622,3.346,5.2168
"FKBP1A",114.3737,100.9099,99.387,127.3136,132.2605,89.2802,96.2,89.34,116.9275,104.8618
"NSFL1C",31.1699,41.5545,42.6064,31.0266,43.9274,37.3542,24.3602,41.6801,34.748,37.8742
"SLC4A11",0.4954,0.2336,0.1482,0.2616,0.567,0.1077,0.3684,0.1838,0.422,0.4661
"C20orf194",7.8434,9.425,27.6777,9.7987,1.5516,13.5601,2.6854,20.4626,2.3286,8.3946
"MAVS",34.4673,34.4555,40.919,42.992,67.0237,22.3786,15.6785,40.1946,56.1758,39.0505
"LZTS3",8.914,3.435,6.371,3.8258,4.2008,5.8339,4.3006,6.0434,3.569,4.5256
"XRN2",62.7079,72.8563,91.5207,58.7511,79.4193,81.0473,52.3824,74.035,60.8704,57.7225
"KIZ",17.3954,10.9422,59.567,17.6785,3.1168,57.4972,10.0065,34.0017,2.5718,15.3161
"DYNLL1",166.9095,185.4414,171.4118,162.4028,209.7199,242.0597,305.1922,167.5445,194.2438,203.9911
"TESC",4.8669,3.8047,2.8003,6.1014,1.2465,4.991,3.6139,4.452,3.0445,4.6366
