""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"CEBPB",13.10753134,12.93270055,12.73351664,12.7761563,13.13040399,13.01634951,12.95956789,12.39932571,13.18891806,13.08739071,13.12753103,13.21846741,12.96117389,12.98615686
"DDX17",9.344455989,9.069248807,8.979883703,8.26372545,9.496862171,8.974795828,9.60269023,8.823122279,8.987430199,8.884007669,8.673428022,8.759737127,9.232867078,8.288838741
"DEAF1",7.865827101,7.877245621,8.061240078,7.783850342,7.895941817,8.013734673,7.985398296,7.829175498,7.950192681,7.471223814,7.552037465,8.048426168,7.812194741,7.702288692
"CHERP",7.16658993,7.173453726,7.102537608,6.969542598,7.172900119,6.889014711,7.067876526,6.311788589,6.771574535,6.764351954,6.831895501,6.835910797,6.875986071,6.945845349
"KAT5",8.927868493,8.704712844,8.887043071,8.712916625,8.953221863,8.881828334,8.86034787,8.228486025,8.943806152,8.75220985,8.715308623,8.968418441,8.824405736,8.979215793
"HYOU1",9.748228675,9.587776958,9.805475661,9.675965964,9.51190199,9.534433473,9.523524353,8.894432304,9.44331486,9.260337652,9.517517038,9.766606023,9.821668764,9.621778078
"IPO8",5.755660067,5.924764992,5.684829547,5.591339764,6.044124191,5.816425389,5.76324135,5.540782409,5.39902093,5.506464538,5.510388578,5.775499842,5.595007942,5.423489804
"NOP56",9.148739461,9.27896319,9.259495982,8.948833365,9.288538382,9.0635255,9.107283608,8.499013627,8.85969755,8.541126362,8.80923819,9.130396371,8.867680565,8.92209417
"NEBL",4.468106435,4.548977393,4.392415225,4.889388663,4.671650029,4.505085902,4.424550766,5.076311143,4.604916998,4.614517259,4.728816107,4.556086402,4.652928879,4.708693683
"CEBPD",12.16520772,11.71512907,11.2979418,11.74830009,11.85581616,12.07403254,11.67655794,10.78725663,11.89673077,11.65553663,11.57780262,11.93088458,11.45816317,11.5586836
"PITRM1",9.219845879,9.083561676,9.37706616,9.119273051,9.134207897,9.196942401,9.009260319,8.214471917,8.81110619,8.695290301,8.743766846,9.180567608,9.107954478,9.05984546
"ATG7",8.337246197,7.906826422,7.804251729,8.017804181,8.404369776,8.101833214,8.097088614,7.776645024,8.544546152,8.592727354,8.554050383,8.518021856,8.496893509,8.318627471
"ZNRD2",7.68980534,7.363517175,7.704441568,7.873763481,7.72089015,7.83365778,7.634205138,7.159034309,7.684317511,7.495199121,7.646041589,8.130000702,7.859918473,7.809821289
"RNASEH2A",7.906702546,7.632075594,7.945519279,7.551249805,7.836643246,7.855140896,7.807776521,8.206553576,7.77375103,7.310391499,7.652995623,8.044549021,7.67779062,7.646365692
"P3H3",5.566323567,5.295391111,5.562579973,5.903499141,5.427881516,5.283019355,5.357475657,6.345510215,5.333480669,5.245300571,5.527861572,5.527249352,5.411500945,5.491428795
"UBD",4.544059388,4.255510614,4.115938441,4.580240882,4.340169752,4.530173939,4.37506493,5.420619785,4.352222449,4.422376744,4.504241429,4.332203257,4.47677101,4.491519207
"BATF",7.604674751,7.922392261,8.086837883,8.225171234,8.085871009,8.009501691,7.943254816,7.93189338,8.305154053,7.930349229,7.974639375,8.249433789,7.982461715,8.095219803
"GLRX3",6.740850387,6.793785387,6.729003303,6.99437953,6.699870736,6.661120404,6.656262708,7.009346063,6.812131267,6.775303309,6.760690812,6.586911254,6.408571543,6.772412347
"CEBPE",7.039882272,6.631496154,6.643204695,7.67658403,6.725746303,6.783802428,6.318601019,7.05104856,6.817838464,6.671974222,6.727072313,6.934581868,6.701721523,7.025432989
